source,target,date_followed
711457,8191,2012-03-29 20:39:58
1257932,1250562,2012-03-29 20:40:04
1286152,1254019,2012-03-29 20:41:13
1113097,111339,2012-03-29 20:41:34
1257932,293815,2012-03-29 20:42:00
1182716,809340,2012-03-29 20:42:18
1232967,195638,2012-03-29 20:42:39
1208200,445137,2012-03-29 20:43:15
1146216,1257932,2012-03-29 20:43:40
1213134,1283804,2012-03-29 20:43:54
1213134,1250102,2012-03-29 20:43:59
142459,1043803,2012-03-29 20:45:31
1237668,625055,2012-03-29 20:46:06
1177152,1148827,2012-03-29 20:46:10
656771,423364,2012-03-29 20:48:32
913258,430766,2012-03-29 20:49:10
1278440,1286152,2012-03-29 20:49:31
1177152,561981,2012-03-29 20:51:13
1209528,192868,2012-03-29 20:51:31
1097258,190462,2012-04-01 03:23:51
1001140,1177314,2012-04-01 03:26:31
1001140,967455,2012-04-01 03:26:54
